analysis_type,targeting_window,usage_context,trip_count,unique_riders,avg_duration,engagement_quality_score,targeting_opportunity_score,message_timing_effectiveness,recommended_message_theme,recommended_channels,campaign_intensity,expected_conversion_window,expected_roi_category
OPTIMAL_TARGETING_WINDOWS,Thursday at 18:00,Weekday Evening Commute,24396,817,18.26,70.01,95,High,Daily Commute Optimization - Stress-Free Travel,Push Notifications + Email + Social Media,High Intensity (Daily campaigns),15-30 minutes (immediate decision window),Very High ROI Expected
OPTIMAL_TARGETING_WINDOWS,Wednesday at 18:00,Weekday Evening Commute,25837,810,18.52,69.75,95,High,Daily Commute Optimization - Stress-Free Travel,Push Notifications + Email + Social Media,High Intensity (Daily campaigns),15-30 minutes (immediate decision window),High ROI Expected
OPTIMAL_TARGETING_WINDOWS,Wednesday at 17:00,Weekday Evening Commute,30148,826,18.79,69.55,95,High,Daily Commute Optimization - Stress-Free Travel,Push Notifications + Email + Social Media,High Intensity (Daily campaigns),15-30 minutes (immediate decision window),High ROI Expected
OPTIMAL_TARGETING_WINDOWS,Thursday at 17:00,Weekday Evening Commute,28833,813,18.13,69.54,95,High,Daily Commute Optimization - Stress-Free Travel,Push Notifications + Email + Social Media,High Intensity (Daily campaigns),15-30 minutes (immediate decision window),High ROI Expected
OPTIMAL_TARGETING_WINDOWS,Friday at 18:00,Weekday Evening Commute,25862,796,20.2,69.45,95,High,Daily Commute Optimization - Stress-Free Travel,Push Notifications + Email + Social Media,High Intensity (Daily campaigns),15-30 minutes (immediate decision window),High ROI Expected
OPTIMAL_TARGETING_WINDOWS,Friday at 17:00,Weekday Evening Commute,29504,812,19.88,69.45,95,High,Daily Commute Optimization - Stress-Free Travel,Push Notifications + Email + Social Media,High Intensity (Daily campaigns),15-30 minutes (immediate decision window),High ROI Expected
OPTIMAL_TARGETING_WINDOWS,Wednesday at 21:00,Evening Wind-down,11664,656,17.94,69.35,95,Medium,Planning Ahead - Tomorrow Starts Tonight,Email + Social Media + Display Ads,High Intensity (Daily campaigns),12-24 hours (overnight consideration),High ROI Expected
OPTIMAL_TARGETING_WINDOWS,Tuesday at 17:00,Weekday Evening Commute,25864,809,18.24,69.35,95,High,Daily Commute Optimization - Stress-Free Travel,Push Notifications + Email + Social Media,High Intensity (Daily campaigns),15-30 minutes (immediate decision window),High ROI Expected
OPTIMAL_TARGETING_WINDOWS,Tuesday at 18:00,Weekday Evening Commute,22017,806,18.41,69.11,95,High,Daily Commute Optimization - Stress-Free Travel,Push Notifications + Email + Social Media,High Intensity (Daily campaigns),15-30 minutes (immediate decision window),High ROI Expected
OPTIMAL_TARGETING_WINDOWS,Saturday at 15:00,Weekend Leisure,37153,808,25.71,68.91,95,Medium-High,Recreation Enhancement - Unlimited Weekend Access,Email + Social Media + Display Ads,High Intensity (Daily campaigns),1-4 hours (leisure decision window),High ROI Expected
OPTIMAL_TARGETING_WINDOWS,Thursday at 19:00,Weekday Evening Commute,17890,760,18.03,68.90,95,High,Daily Commute Optimization - Stress-Free Travel,Push Notifications + Email + Social Media,High Intensity (Daily campaigns),15-30 minutes (immediate decision window),High ROI Expected
OPTIMAL_TARGETING_WINDOWS,Wednesday at 19:00,Weekday Evening Commute,18939,739,20.27,68.90,95,High,Daily Commute Optimization - Stress-Free Travel,Push Notifications + Email + Social Media,High Intensity (Daily campaigns),15-30 minutes (immediate decision window),High ROI Expected
OPTIMAL_TARGETING_WINDOWS,Tuesday at 21:00,Evening Wind-down,9051,645,15.59,68.83,95,Medium,Planning Ahead - Tomorrow Starts Tonight,Email + Social Media + Display Ads,High Intensity (Daily campaigns),12-24 hours (overnight consideration),High ROI Expected
OPTIMAL_TARGETING_WINDOWS,Wednesday at 20:00,Evening Wind-down,14261,716,19.12,68.82,95,Medium,Planning Ahead - Tomorrow Starts Tonight,Email + Social Media + Display Ads,High Intensity (Daily campaigns),12-24 hours (overnight consideration),High ROI Expected
OPTIMAL_TARGETING_WINDOWS,Thursday at 20:00,Evening Wind-down,12858,692,17.4,68.79,95,Medium,Planning Ahead - Tomorrow Starts Tonight,Email + Social Media + Display Ads,High Intensity (Daily campaigns),12-24 hours (overnight consideration),High ROI Expected
OPTIMAL_TARGETING_WINDOWS,Saturday at 14:00,Weekend Leisure,36985,804,26.3,68.73,95,Medium-High,Recreation Enhancement - Unlimited Weekend Access,Email + Social Media + Display Ads,High Intensity (Daily campaigns),1-4 hours (leisure decision window),High ROI Expected
OPTIMAL_TARGETING_WINDOWS,Saturday at 16:00,Weekend Leisure,35314,802,25.08,68.73,95,Medium-High,Recreation Enhancement - Unlimited Weekend Access,Email + Social Media + Display Ads,High Intensity (Daily campaigns),1-4 hours (leisure decision window),High ROI Expected
OPTIMAL_TARGETING_WINDOWS,Friday at 19:00,Weekday Evening Commute,19403,771,19.09,68.68,95,High,Daily Commute Optimization - Stress-Free Travel,Push Notifications + Email + Social Media,High Intensity (Daily campaigns),15-30 minutes (immediate decision window),High ROI Expected
OPTIMAL_TARGETING_WINDOWS,Saturday at 22:00,Evening Wind-down,15048,646,20.54,68.66,95,Medium,Planning Ahead - Tomorrow Starts Tonight,Email + Social Media + Display Ads,High Intensity (Daily campaigns),12-24 hours (overnight consideration),High ROI Expected
OPTIMAL_TARGETING_WINDOWS,Saturday at 17:00,Off-Peak,31369,791,24.11,68.66,95,Low,General Membership Value,Email + Social Media + Display Ads,High Intensity (Daily campaigns),24-72 hours (extended consideration),High ROI Expected
