analysis_type,station_name,station_type,total_casual_trips_2024,unique_casual_riders,avg_trips_per_active_day,casual_percentage,composite_roi_score,investment_recommendation,recommended_tactics,conservative_conversion_target,optimistic_conversion_target,annual_revenue_potential,campaign_timeline_priority,success_metrics_target
STATION_ROI_ANALYSIS,"""Field Museum""",High-Volume Casual Hub,9734,1,28.63,81.73,94.23,"High Investment ($5,000-10,000/year)",High-Visibility Displays + Street Teams + QR Code Campaigns,1460,2434,350424,Immediate Priority (Q1 2025),20-30% conversion rate target
STATION_ROI_ANALYSIS,"""Shedd Aquarium""",High-Volume Casual Hub,20747,1,58.77,81.35,94.15,"High Investment ($5,000-10,000/year)",High-Visibility Displays + Street Teams + QR Code Campaigns,3112,5187,746892,Immediate Priority (Q1 2025),20-30% conversion rate target
STATION_ROI_ANALYSIS,"""Adler Planetarium""",High-Volume Casual Hub,12672,1,38.17,71.58,90.75,"High Investment ($5,000-10,000/year)",High-Visibility Displays + Street Teams + QR Code Campaigns,1901,3168,456192,Immediate Priority (Q1 2025),20-30% conversion rate target
STATION_ROI_ANALYSIS,"""Dusable Harbor""",High-Volume Casual Hub,18176,1,53.93,73.27,90.41,"High Investment ($5,000-10,000/year)",High-Visibility Displays + Street Teams + QR Code Campaigns,2726,4544,654336,Immediate Priority (Q1 2025),20-30% conversion rate target
STATION_ROI_ANALYSIS,"""Streeter Dr & Grand Ave""",High-Volume Casual Hub,50270,1,142.01,77.31,90.20,"High Investment ($5,000-10,000/year)",High-Visibility Displays + Street Teams + QR Code Campaigns,7541,12568,1809720,Immediate Priority (Q1 2025),20-30% conversion rate target
STATION_ROI_ANALYSIS,"""DuSable Lake Shore Dr & Monroe St""",High-Volume Casual Hub,33484,1,96.22,77.49,90.11,"High Investment ($5,000-10,000/year)",High-Visibility Displays + Street Teams + QR Code Campaigns,5023,8371,1205424,Immediate Priority (Q1 2025),20-30% conversion rate target
STATION_ROI_ANALYSIS,"""Buckingham Fountain""",High-Volume Casual Hub,11353,1,34.51,75.75,90.09,"High Investment ($5,000-10,000/year)",High-Visibility Displays + Street Teams + QR Code Campaigns,1703,2838,408708,Immediate Priority (Q1 2025),20-30% conversion rate target
STATION_ROI_ANALYSIS,"""Streeter Dr/Grand Ave""",Quality Usage Station,5333,1,16.93,67.32,87.56,"High Investment ($5,000-10,000/year)",High-Visibility Displays + Street Teams + QR Code Campaigns,800,1333,191988,Immediate Priority (Q1 2025),20-30% conversion rate target
STATION_ROI_ANALYSIS,"""McCormick Place""",Quality Usage Station,5712,1,19.43,69.49,87.52,"High Investment ($5,000-10,000/year)",High-Visibility Displays + Street Teams + QR Code Campaigns,857,1428,205632,Immediate Priority (Q1 2025),20-30% conversion rate target
STATION_ROI_ANALYSIS,"""Michigan Ave & 8th St""",Quality Usage Station,13322,1,38.39,65.34,87.14,"High Investment ($5,000-10,000/year)",High-Visibility Displays + Street Teams + QR Code Campaigns,1998,3331,479592,Immediate Priority (Q1 2025),20-30% conversion rate target
