analysis_type,start_station_id,station_name,latitude,longitude,total_trips,casual_trips,member_trips,casual_usage_percentage,member_usage_percentage,casual_quality_percentage,casual_weekday_percentage,casual_commuter_percentage,avg_casual_duration,avg_member_duration,yoy_casual_growth_percent,conversion_opportunity_score,recommended_campaign_strategy,target_audience_profile,investment_priority_level,campaign_timing_recommendation
HIGH_POTENTIAL_STATION_ANALYSIS,"""20201""","""20201""",41.7034842958095,-87.7012448325165,91,89,2,97.80,2.20,93.26,82.02,42.70,16.03,5.33,-6.52,95,Commuter Conversion Campaign - Rush hour targeting with time-saving benefits,Potential Commuters - High Value Prospects,Priority Investment - Premium Conversion Opportunity,Immediate deployment - High priority launch
HIGH_POTENTIAL_STATION_ANALYSIS,"""20217""","""20217""",41.666303335628,-87.5572000313094,111,108,3,97.30,2.70,81.48,80.56,26.85,16.46,13.77,3.77,95,Commuter Conversion Campaign - Rush hour targeting with time-saving benefits,Potential Commuters - High Value Prospects,Priority Investment - Premium Conversion Opportunity,Immediate deployment - High priority launch
HIGH_POTENTIAL_STATION_ANALYSIS,"""20211""","""20211""",41.6583159015283,-87.6107193872927,74,71,3,95.95,4.05,63.38,64.79,40.85,60.89,29.6,21.88,95,Commuter Conversion Campaign - Rush hour targeting with time-saving benefits,Community Hub Users - Local Engagement,Priority Investment - Premium Conversion Opportunity,Immediate deployment - High priority launch
HIGH_POTENTIAL_STATION_ANALYSIS,"""23138""","""23138""",41.7643567504378,-87.7101219905373,67,64,3,95.52,4.48,60.94,76.56,26.56,36.25,9.66,600.00,95,Commuter Conversion Campaign - Rush hour targeting with time-saving benefits,Potential Commuters - High Value Prospects,Priority Investment - Premium Conversion Opportunity,Immediate deployment - High priority launch
HIGH_POTENTIAL_STATION_ANALYSIS,"""20133""","""20133""",41.7080901220505,-87.5929398576162,99,94,5,94.95,5.05,82.98,73.40,44.68,12.71,7.05,-74.67,95,Commuter Conversion Campaign - Rush hour targeting with time-saving benefits,Potential Commuters - High Value Prospects,Priority Investment - Premium Conversion Opportunity,Immediate deployment - High priority launch
HIGH_POTENTIAL_STATION_ANALYSIS,"""307""","""307""",41.9073246030791,-87.7531571770396,59,56,3,94.92,5.08,76.79,69.64,25.00,18.56,14.6,-98.18,95,Commuter Conversion Campaign - Rush hour targeting with time-saving benefits,Potential Commuters - High Value Prospects,Priority Investment - Premium Conversion Opportunity,Immediate deployment - High priority launch
HIGH_POTENTIAL_STATION_ANALYSIS,"""23117""","""23117""",41.7425349615022,-87.702339140303,77,73,4,94.81,5.19,90.41,83.56,21.92,28.12,17.56,1625.00,95,Business District Campaign - Professional membership packages,Potential Commuters - High Value Prospects,Priority Investment - Premium Conversion Opportunity,Immediate deployment - High priority launch
HIGH_POTENTIAL_STATION_ANALYSIS,"""20212""","""20212""",41.656826769,-87.5988112802106,86,81,5,94.19,5.81,40.74,60.49,35.80,150.37,10.77,-31.25,95,Commuter Conversion Campaign - Rush hour targeting with time-saving benefits,Community Hub Users - Local Engagement,Priority Investment - Premium Conversion Opportunity,Immediate deployment - High priority launch
HIGH_POTENTIAL_STATION_ANALYSIS,"""1085.0""","""1085.0""",41.7766936452929,-87.7820194253333,99,93,6,93.94,6.06,83.87,69.89,22.58,22.51,28.23,-10.20,95,Regular User Campaign - Highlight cost savings and convenience,Potential Commuters - High Value Prospects,Priority Investment - Premium Conversion Opportunity,Immediate deployment - High priority launch
HIGH_POTENTIAL_STATION_ANALYSIS,"""20109""","""20109""",41.7001679961502,-87.6122876980059,158,147,11,93.04,6.96,74.83,70.75,31.97,39.01,15.97,29.69,95,Commuter Conversion Campaign - Rush hour targeting with time-saving benefits,Potential Commuters - High Value Prospects,Priority Investment - Premium Conversion Opportunity,Immediate deployment - High priority launch
