route_id,start_station_name,end_station_name,route_distance_miles,total_trips,casual_trips,member_trips,casual_percentage,casual_weekday_trips,casual_weekday_percentage,casual_morning_rush,casual_evening_rush,casual_rush_hour_percentage,commuter_potential_score,route_type,campaign_strategy
"""15654""-""KA1504000106""","""15654""","""KA1504000106""",1.26,116,111,5,95.69,108,97.30,106,2,97.30,98.38,High Commuter Potential,Priority Target: Commuter conversion with monthly trials
"""KA1503000043""-""13138""","""KA1503000043""","""13138""",0.79,391,101,290,25.83,101,100.00,74,13,86.14,96.53,High Commuter Potential,Priority Target: Commuter conversion with monthly trials
"""429""-""13084""","""429""","""13084""",0.63,289,260,29,89.97,250,96.15,230,7,91.15,96.44,High Commuter Potential,Priority Target: Commuter conversion with monthly trials
"""13056""-""TA1305000022""","""13056""","""TA1305000022""",0.47,270,102,168,37.78,100,98.04,87,3,88.24,96.37,High Commuter Potential,Priority Target: Commuter conversion with monthly trials
"""TA1305000039""-""18069""","""TA1305000039""","""18069""",0.86,375,166,209,44.27,160,96.39,146,4,90.36,96.33,High Commuter Potential,Priority Target: Commuter conversion with monthly trials
"""435""-""13266""","""435""","""13266""",1.46,123,121,2,98.37,120,99.17,0,103,85.12,95.99,High Commuter Potential,Priority Target: Commuter conversion with monthly trials
"""TA1307000151""-""13138""","""TA1307000151""","""13138""",0.87,308,135,173,43.83,133,98.52,115,0,85.19,95.78,High Commuter Potential,Priority Target: Commuter conversion with monthly trials
"""TA1308000049""-""TA1306000010""","""TA1308000049""","""TA1306000010""",1.58,203,132,71,65.02,124,93.94,3,117,90.91,95.61,High Commuter Potential,Priority Target: Commuter conversion with monthly trials
"""13138""-""TA1305000003""","""13138""","""TA1305000003""",1.39,165,113,52,68.48,107,94.69,95,4,87.61,95.04,High Commuter Potential,Priority Target: Commuter conversion with monthly trials
"""RP-005""-""KA1504000162""","""RP-005""","""KA1504000162""",0.84,643,267,376,41.52,253,94.76,219,14,87.27,94.98,High Commuter Potential,Priority Target: Commuter conversion with monthly trials
"""410""-""15664""","""410""","""15664""",0.69,230,170,60,73.91,169,99.41,135,0,79.41,94.65,High Commuter Potential,Priority Target: Commuter conversion with monthly trials
"""398""-""15624""","""398""","""15624""",1.53,290,135,155,46.55,125,92.59,109,9,87.41,94.26,High Commuter Potential,Priority Target: Commuter conversion with monthly trials
"""TA1309000061""-""KA1503000044""","""TA1309000061""","""KA1503000044""",2.94,170,163,7,95.88,150,92.02,141,0,86.50,93.83,High Commuter Potential,Priority Target: Commuter conversion with monthly trials
"""KA1503000040""-""TA1307000159""","""KA1503000040""","""TA1307000159""",1.27,215,90,125,41.86,88,97.78,1,84,94.44,93.83,High Commuter Potential,Priority Target: Commuter conversion with monthly trials
"""TA1305000006""-""TA1309000007""","""TA1305000006""","""TA1309000007""",0.29,260,164,96,63.08,152,92.68,137,2,84.76,93.63,High Commuter Potential,Priority Target: Commuter conversion with monthly trials
"""21544""-""WL-012""","""21544""","""WL-012""",1.12,499,180,319,36.07,170,94.44,35,112,81.67,93.47,High Commuter Potential,Priority Target: Commuter conversion with monthly trials
"""TA1305000032""-""13138""","""TA1305000032""","""13138""",0.35,438,112,326,25.57,110,98.21,79,6,75.89,93.35,High Commuter Potential,Priority Target: Commuter conversion with monthly trials
"""TA1305000022""-""TA1305000006""","""TA1305000022""","""TA1305000006""",0.59,355,203,152,57.18,187,92.12,163,8,84.24,93.30,High Commuter Potential,Priority Target: Commuter conversion with monthly trials
"""TA1309000015""-""TA1309000066""","""TA1309000015""","""TA1309000066""",0.5,631,290,341,45.96,262,90.34,215,31,84.83,92.83,High Commuter Potential,Priority Target: Commuter conversion with monthly trials
"""TA1306000009""-""TA1305000030""","""TA1306000009""","""TA1305000030""",1.05,190,112,78,58.95,106,94.64,84,4,78.57,92.77,High Commuter Potential,Priority Target: Commuter conversion with monthly trials
"""15664""-""13432""","""15664""","""13432""",0.86,219,123,96,56.16,116,94.31,81,15,78.05,92.52,High Commuter Potential,Priority Target: Commuter conversion with monthly trials
