station_pair_id,station_a_id,station_b_id,pair_distance_miles,total_pair_trips,casual_pair_trips,member_pair_trips,casual_percentage,casual_a_to_b,casual_b_to_a,directional_imbalance_percentage,casual_weekday_trips,casual_weekday_percentage,casual_rush_hour_trips,casual_rush_hour_percentage,corridor_conversion_score,corridor_type,campaign_strategy,estimated_monthly_conversions
"""KA1503000044""-""TA1309000061""","""KA1503000044""","""TA1309000061""",1.04,251,233,18,92.83,70,163,57.06,208,89.27,174,74.68,90.99,High-Traffic Commuter Corridor,Priority Corridor: Comprehensive commuter conversion with corporate partnerships,47
"""13266""-""435""","""13266""","""435""",1.43,124,122,2,98.39,1,121,99.17,121,99.18,104,85.25,90.51,High-Traffic Commuter Corridor,Priority Corridor: Comprehensive commuter conversion with corporate partnerships,24
"""13164""-""TA1305000029""","""13164""","""TA1305000029""",1.49,144,130,14,90.28,115,15,86.96,101,77.69,118,90.77,88.11,High-Traffic Commuter Corridor,Priority Corridor: Comprehensive commuter conversion with corporate partnerships,26
"""15654""-""KA1504000106""","""15654""","""KA1504000106""",0.44,172,161,11,93.60,111,50,54.95,152,94.41,139,86.34,85.19,High-Traffic Commuter Corridor,Priority Corridor: Comprehensive commuter conversion with corporate partnerships,32
"""15664""-""410""","""15664""","""410""",0.48,272,188,84,69.12,18,170,89.41,187,99.47,152,80.85,85.08,High-Traffic Commuter Corridor,Priority Corridor: Comprehensive commuter conversion with corporate partnerships,38
"""13084""-""429""","""13084""","""429""",0.45,334,289,45,86.53,29,260,88.85,270,93.43,250,86.51,84.98,High-Traffic Commuter Corridor,Priority Corridor: Comprehensive commuter conversion with corporate partnerships,58
"""15664""-""18058""","""15664""","""18058""",0.06,650,158,492,24.31,78,80,2.50,152,96.20,122,77.22,83.35,High-Traffic Commuter Corridor,Priority Corridor: Comprehensive commuter conversion with corporate partnerships,32
"""TA1305000030""-""TA1309000004""","""TA1305000030""","""TA1309000004""",0.03,654,154,500,23.55,67,87,22.99,148,96.10,116,75.32,82.86,High-Traffic Commuter Corridor,Priority Corridor: Comprehensive commuter conversion with corporate partnerships,31
"""TA1306000010""-""TA1308000049""","""TA1306000010""","""TA1308000049""",0.38,327,184,143,56.27,52,132,60.61,172,93.48,140,76.09,82.39,High-Traffic Commuter Corridor,Priority Corridor: Comprehensive commuter conversion with corporate partnerships,37
"""15653""-""17660""","""15653""","""17660""",0.03,408,246,162,60.29,129,117,9.30,214,86.99,203,82.52,82.38,High-Traffic Commuter Corridor,Priority Corridor: Comprehensive commuter conversion with corporate partnerships,49
