analysis_type,neighborhood_cluster_id,neighborhood_center_lat,neighborhood_center_lng,key_stations,stations_in_cluster,total_neighborhood_trips,casual_neighborhood_trips,member_neighborhood_trips,unique_casual_usage_days,unique_member_usage_days,casual_usage_percentage,member_usage_percentage,member_penetration_gap,trips_per_casual_day,trips_per_station,casual_weekday_percentage,casual_commuter_percentage,casual_midday_percentage,casual_leisure_percentage,casual_quality_percentage,avg_casual_duration,neighborhood_connectivity,connectivity_per_usage_day,peak_season_concentration,yoy_casual_growth_percent,yoy_member_growth_percent,neighborhood_conversion_score,neighborhood_type,neighborhood_campaign_strategy,partnership_opportunities,deployment_strategy,estimated_neighborhood_conversions,investment_priority,operational_recommendation,long_term_strategy
NEIGHBORHOOD_CONVERSION_ANALYSIS,4188_-8764,41.8853015724225,-87.6364574510239,Neighborhood_4188_-8764,149,406653,114240,292413,9636,10690,28.09,71.91,43.81,11.86,2729.21,73.27,34.92,51.58,12.47,81.22,14.78,274,0.03,40.61,16.30,9.52,95,Business District - Commuter Hub,Commuter Neighborhood Campaign - Rush hour convenience and time savings,Corporate Partnerships - Office buildings and business associations,Intensive Deployment - Multi-channel neighborhood saturation,2698,High Priority Investment - Major Neighborhood Opportunity,Maintain operations - Stable neighborhood performance,Community Engagement - Build local brand ambassador program
NEIGHBORHOOD_CONVERSION_ANALYSIS,4188_-8765,41.8839198755805,-87.6447310333503,Neighborhood_4188_-8765,238,390409,109628,280781,8945,10389,28.08,71.92,43.84,12.26,1640.37,70.44,38.60,41.72,18.55,80.85,14.14,259,0.03,42.14,14.89,12.08,95,Business District - Commuter Hub,Commuter Neighborhood Campaign - Rush hour convenience and time savings,Corporate Partnerships - Office buildings and business associations,Intensive Deployment - Multi-channel neighborhood saturation,2505,High Priority Investment - Major Neighborhood Opportunity,Maintain operations - Stable neighborhood performance,Community Engagement - Build local brand ambassador program
NEIGHBORHOOD_CONVERSION_ANALYSIS,4189_-8764,41.8941181101737,-87.6349001062268,Neighborhood_4189_-8764,105,318016,105681,212335,9275,10130,33.23,66.77,33.54,11.39,3028.72,67.20,37.53,42.28,18.16,79.14,14.41,244,0.03,43.51,8.05,2.71,95,Commercial District - Shopping & Dining Hub,Commuter Neighborhood Campaign - Rush hour convenience and time savings,Corporate Partnerships - Office buildings and business associations,Intensive Deployment - Multi-channel neighborhood saturation,2597,High Priority Investment - Major Neighborhood Opportunity,Maintain operations - Stable neighborhood performance,Community Engagement - Build local brand ambassador program
NEIGHBORHOOD_CONVERSION_ANALYSIS,4190_-8764,41.9042803073449,-87.6338711218698,Neighborhood_4190_-8764,98,239122,78726,160396,5372,6021,32.92,67.08,34.15,14.65,2440.02,63.32,39.26,38.74,20.04,82.57,14.44,229,0.04,45.43,0.25,0.27,95,Commercial District - Shopping & Dining Hub,Commuter Neighborhood Campaign - Rush hour convenience and time savings,Corporate Partnerships - Office buildings and business associations,Intensive Deployment - Multi-channel neighborhood saturation,1504,High Priority Investment - Major Neighborhood Opportunity,Maintain operations - Stable neighborhood performance,Community Engagement - Build local brand ambassador program
NEIGHBORHOOD_CONVERSION_ANALYSIS,4194_-8765,41.9447484346884,-87.6477786832422,Neighborhood_4194_-8765,52,226980,77363,149617,4419,4603,34.08,65.92,31.83,17.51,4365.00,59.97,33.47,40.99,22.48,79.19,16.87,235,0.05,47.80,-12.59,-0.98,95,Commercial District - Shopping & Dining Hub,Commuter Neighborhood Campaign - Rush hour convenience and time savings,Corporate Partnerships - Office buildings and business associations,Intensive Deployment - Multi-channel neighborhood saturation,1237,High Priority Investment - Major Neighborhood Opportunity,Maintain operations - Stable neighborhood performance,Community Engagement - Build local brand ambassador program
NEIGHBORHOOD_CONVERSION_ANALYSIS,4187_-8764,41.8765486787733,-87.635431317567,Neighborhood_4187_-8764,126,251480,74743,176737,9263,10265,29.72,70.28,40.56,8.07,1995.87,71.79,35.66,50.03,13.96,80.24,17.18,256,0.03,41.16,7.78,-0.85,95,Business District - Commuter Hub,Commuter Neighborhood Campaign - Rush hour convenience and time savings,Corporate Partnerships - Office buildings and business associations,Intensive Deployment - Multi-channel neighborhood saturation,2594,High Priority Investment - Major Neighborhood Opportunity,Maintain operations - Stable neighborhood performance,Community Engagement - Build local brand ambassador program
NEIGHBORHOOD_CONVERSION_ANALYSIS,4193_-8765,41.9339600485115,-87.6462319842671,Neighborhood_4193_-8765,56,187257,60641,126616,4321,4644,32.38,67.62,35.23,14.03,3343.88,61.68,35.64,40.98,22.47,81.28,15.05,222,0.05,46.51,-17.68,-7.31,95,Commercial District - Shopping & Dining Hub,Commuter Neighborhood Campaign - Rush hour convenience and time savings,Corporate Partnerships - Office buildings and business associations,Intensive Deployment - Multi-channel neighborhood saturation,1210,High Priority Investment - Major Neighborhood Opportunity,Maintain operations - Stable neighborhood performance,Community Engagement - Build local brand ambassador program
NEIGHBORHOOD_CONVERSION_ANALYSIS,4192_-8766,41.9251834441599,-87.6555876356983,Neighborhood_4192_-8766,42,162047,54132,107915,4133,4387,33.41,66.59,33.19,13.10,3858.26,63.88,35.05,40.72,22.88,79.01,12.99,207,0.05,42.93,-16.48,-11.10,95,Commercial District - Shopping & Dining Hub,Commuter Neighborhood Campaign - Rush hour convenience and time savings,Corporate Partnerships - Office buildings and business associations,Intensive Deployment - Multi-channel neighborhood saturation,1157,High Priority Investment - Major Neighborhood Opportunity,Maintain operations - Stable neighborhood performance,Community Engagement - Build local brand ambassador program
NEIGHBORHOOD_CONVERSION_ANALYSIS,4188_-8766,41.8838513767289,-87.6550333496528,Neighborhood_4188_-8766,101,167987,50585,117402,7235,8100,30.11,69.89,39.78,6.99,1663.24,67.10,33.92,43.16,21.01,81.42,15.01,221,0.03,42.87,12.68,11.03,95,Commercial District - Shopping & Dining Hub,Commuter Neighborhood Campaign - Rush hour convenience and time savings,Corporate Partnerships - Office buildings and business associations,Intensive Deployment - Multi-channel neighborhood saturation,2026,High Priority Investment - Major Neighborhood Opportunity,Maintain operations - Stable neighborhood performance,Community Engagement - Build local brand ambassador program
NEIGHBORHOOD_CONVERSION_ANALYSIS,4187_-8765,41.8759506946579,-87.6453681699751,Neighborhood_4187_-8765,89,199021,47798,151223,5929,6571,24.02,75.98,51.97,8.06,2236.19,74.88,36.28,47.69,16.33,77.06,13.82,237,0.04,36.00,7.90,3.76,95,Business District - Commuter Hub,Commuter Neighborhood Campaign - Rush hour convenience and time savings,Corporate Partnerships - Office buildings and business associations,Intensive Deployment - Multi-channel neighborhood saturation,1660,High Priority Investment - Major Neighborhood Opportunity,Maintain operations - Stable neighborhood performance,Community Engagement - Build local brand ambassador program
