analysis_type,member_casual,location_name,end_location,location_type,usage_count,avg_duration_minutes,avg_distance_km,popularity_rank,conversion_potential
CONVERSION_TARGETS,casual,,,High-Potential Station,370791,0,0,1,Medium Conversion Potential
CONVERSION_TARGETS,casual,"""Streeter Dr & Grand Ave""",,High-Potential Station,50270,0,0,2,High Conversion Potential
CONVERSION_TARGETS,casual,"""DuSable Lake Shore Dr & Monroe St""",,High-Potential Station,33484,0,0,3,High Conversion Potential
CONVERSION_TARGETS,casual,"""Michigan Ave & Oak St""",,High-Potential Station,24738,0,0,4,High Conversion Potential
CONVERSION_TARGETS,casual,"""DuSable Lake Shore Dr & North Blvd""",,High-Potential Station,22668,0,0,5,High Conversion Potential
CONVERSION_TARGETS,casual,"""Millennium Park""",,High-Potential Station,22179,0,0,6,High Conversion Potential
CONVERSION_TARGETS,casual,"""Shedd Aquarium""",,High-Potential Station,20747,0,0,7,High Conversion Potential
CONVERSION_TARGETS,casual,"""Dusable Harbor""",,High-Potential Station,18176,0,0,8,High Conversion Potential
CONVERSION_TARGETS,casual,"""Theater on the Lake""",,High-Potential Station,16562,0,0,9,High Conversion Potential
CONVERSION_TARGETS,casual,"""Michigan Ave & 8th St""",,High-Potential Station,13322,0,0,10,High Conversion Potential
CONVERSION_TARGETS,casual,"""Michigan Ave & 8th St""",,High-Potential Station,13322,0,0,11,High Conversion Potential
CONVERSION_TARGETS,casual,"""Adler Planetarium""",,High-Potential Station,12672,0,0,12,High Conversion Potential
CONVERSION_TARGETS,casual,"""Indiana Ave & Roosevelt Rd""",,High-Potential Station,11808,0,0,13,High Conversion Potential
CONVERSION_TARGETS,casual,"""Buckingham Fountain""",,High-Potential Station,11353,0,0,14,High Conversion Potential
CONVERSION_TARGETS,casual,"""Wells St & Concord Ln""",,High-Potential Station,11283,0,0,15,Medium Conversion Potential
CONVERSION_TARGETS,casual,"""Montrose Harbor""",,High-Potential Station,11047,0,0,16,High Conversion Potential
CONVERSION_TARGETS,casual,"""Clark St & Elm St""",,High-Potential Station,10698,0,0,17,Medium Conversion Potential
CONVERSION_TARGETS,casual,"""Wabash Ave & Grand Ave""",,High-Potential Station,10631,0,0,18,High Conversion Potential
CONVERSION_TARGETS,casual,"""New St & Illinois St""",,High-Potential Station,10507,0,0,19,High Conversion Potential
CONVERSION_TARGETS,casual,"""Michigan Ave & Washington St""",,High-Potential Station,10498,0,0,20,High Conversion Potential
CONVERSION_TARGETS,casual,"""Clark St & Armitage Ave""",,High-Potential Station,10332,0,0,21,High Conversion Potential
CONVERSION_TARGETS,casual,"""Clark St & Lincoln Ave""",,High-Potential Station,10313,0,0,22,High Conversion Potential
CONVERSION_TARGETS,casual,"""Wells St & Elm St""",,High-Potential Station,9931,0,0,23,Medium Conversion Potential
CONVERSION_TARGETS,casual,"""Field Museum""",,High-Potential Station,9734,0,0,24,High Conversion Potential
CONVERSION_TARGETS,casual,"""LaSalle St & Illinois St""",,High-Potential Station,9637,0,0,25,High Conversion Potential
CONVERSION_TARGETS,casual,"""Michigan Ave & Lake St""",,High-Potential Station,9284,0,0,26,High Conversion Potential
CONVERSION_TARGETS,casual,"""Columbus Dr & Randolph St""",,High-Potential Station,9272,0,0,27,High Conversion Potential
CONVERSION_TARGETS,casual,"""McClurg Ct & Ohio St""",,High-Potential Station,8763,0,0,28,High Conversion Potential
CONVERSION_TARGETS,casual,"""DuSable Lake Shore Dr & Diversey Pkwy""",,High-Potential Station,8667,0,0,29,High Conversion Potential
