analysis_type,member_casual,season,trip_year,rideable_type,trip_count,seasonal_bike_percentage,avg_duration_minutes,active_days,previous_year_seasonal_count,seasonal_yoy_growth
SEASONAL_ANALYSIS,casual,Winter,2024,"""CLASSIC_BIKE""",50488,47.19,21.44,91,,
SEASONAL_ANALYSIS,casual,Winter,2024,"""ELECTRIC_BIKE""",56501,52.81,10.84,90,,
SEASONAL_ANALYSIS,casual,Spring,2024,"""CLASSIC_BIKE""",209466,48.59,30.76,92,,
SEASONAL_ANALYSIS,casual,Spring,2024,"""ELECTRIC_BIKE""",221665,51.41,15.25,92,,
SEASONAL_ANALYSIS,casual,Summer,2024,"""CLASSIC_BIKE""",448278,49.43,30.21,92,,
SEASONAL_ANALYSIS,casual,Summer,2024,"""ELECTRIC_BIKE""",458642,50.57,16.62,92,,
SEASONAL_ANALYSIS,casual,Summer,2024,"""ELECTRIC_SCOOTER""",63,0.01,36.55,1,,
SEASONAL_ANALYSIS,casual,Fall,2024,"""CLASSIC_BIKE""",256828,40.44,26.97,91,,
SEASONAL_ANALYSIS,casual,Fall,2024,"""ELECTRIC_BIKE""",296806,46.74,14.24,91,,
SEASONAL_ANALYSIS,casual,Fall,2024,"""ELECTRIC_SCOOTER""",81387,12.82,12.45,30,,
SEASONAL_ANALYSIS,member,Winter,2024,"""CLASSIC_BIKE""",232833,54.54,12.25,91,,
SEASONAL_ANALYSIS,member,Winter,2024,"""ELECTRIC_BIKE""",194078,45.46,10.41,91,,
SEASONAL_ANALYSIS,member,Spring,2024,"""CLASSIC_BIKE""",422519,49.07,13.69,92,,
SEASONAL_ANALYSIS,member,Spring,2024,"""ELECTRIC_BIKE""",438609,50.93,11.15,92,,
SEASONAL_ANALYSIS,member,Summer,2024,"""CLASSIC_BIKE""",609666,48.61,14.3,92,,
SEASONAL_ANALYSIS,member,Summer,2024,"""ELECTRIC_BIKE""",644500,51.39,12.41,92,,
SEASONAL_ANALYSIS,member,Summer,2024,"""ELECTRIC_SCOOTER""",19,0.00,19.36,1,,
SEASONAL_ANALYSIS,member,Fall,2024,"""CLASSIC_BIKE""",484614,44.09,12.68,91,,
SEASONAL_ANALYSIS,member,Fall,2024,"""ELECTRIC_BIKE""",558311,50.80,11.26,91,,
SEASONAL_ANALYSIS,member,Fall,2024,"""ELECTRIC_SCOOTER""",56115,5.11,8.65,30,,
