analysis_type,usage_frequency_category,savings_category,user_segments_count,avg_monthly_trips,avg_annual_trips,avg_annual_casual_cost,annual_membership_cost,avg_annual_savings,avg_conversion_score,consistency_score,marketing_priority,recommended_messaging,break_even_annual_trips
BREAK_EVEN_ANALYSIS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),609,289,3468,6903.52,180.00,6723.52,94,82.03,Immediate Priority,Premium Value Message: Save $6724/year,90
BREAK_EVEN_ANALYSIS,Occasional User (<5 trips/month),High Savings Potential (>$10/month),3,2,32,1197.35,180.00,1017.35,25,25.00,Low Priority,Premium Value Message: Save $1017/year,5
BREAK_EVEN_ANALYSIS,Heavy User (15-19 trips/month),High Savings Potential (>$10/month),10,16,198,790.86,180.00,610.86,93,25.83,Low Priority,Premium Value Message: Save $611/year,45
BREAK_EVEN_ANALYSIS,Moderate User (10-14 trips/month),High Savings Potential (>$10/month),9,12,146,597.89,180.00,417.89,81,25.00,Low Priority,Premium Value Message: Save $418/year,44
BREAK_EVEN_ANALYSIS,Light User (5-9 trips/month),High Savings Potential (>$10/month),4,6,81,567.07,180.00,387.07,60,27.08,Low Priority,Premium Value Message: Save $387/year,26
BREAK_EVEN_ANALYSIS,Light User (5-9 trips/month),Low Savings Potential ($0-5/month),1,6,72,218.2,180.00,38.2,50,25.00,Low Priority,"Lifestyle Message: Focus on convenience, not savings",59
BREAK_EVEN_ANALYSIS,Moderate User (10-14 trips/month),Low Savings Potential ($0-5/month),1,11,132,209.72,180.00,29.72,50,25.00,Low Priority,"Lifestyle Message: Focus on convenience, not savings",113
BREAK_EVEN_ANALYSIS,Heavy User (15-19 trips/month),Low Savings Potential ($0-5/month),5,16,201,209.61,180.00,29.61,50,25.00,Low Priority,"Lifestyle Message: Focus on convenience, not savings",173
BREAK_EVEN_ANALYSIS,Moderate User (10-14 trips/month),No Financial Benefit,19,10,130,142.82,180.00,-37.18,25,25.43,Low Priority,"Lifestyle Message: Focus on convenience, not savings",164
BREAK_EVEN_ANALYSIS,Light User (5-9 trips/month),No Financial Benefit,161,6,76,94.97,180.00,-85.03,25,31.26,Low Priority,"Lifestyle Message: Focus on convenience, not savings",144
BREAK_EVEN_ANALYSIS,Occasional User (<5 trips/month),No Financial Benefit,651,1,19,31.9,180.00,-148.1,25,42.15,Low Priority,"Lifestyle Message: Focus on convenience, not savings",107
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,30899,370788,468880.38592,180.00,468700.38592,95,100.00,Immediate Priority,Unknown Station,142
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,4189,50268,150416.1369925,180.00,150236.1369925,95,100.00,Immediate Priority,"""Streeter Dr & Grand Ave""",60
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,2790,33480,98158.1181925,180.00,97978.1181925,95,100.00,Immediate Priority,"""DuSable Lake Shore Dr & Monroe St""",61
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,2061,24732,81152.724375,180.00,80972.724375,95,100.00,Immediate Priority,"""Michigan Ave & Oak St""",55
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,1848,22176,78150.278535,180.00,77970.278535,95,100.00,Immediate Priority,"""Millennium Park""",51
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,1514,18168,53382.1837825,180.00,53202.1837825,95,100.00,Immediate Priority,"""Dusable Harbor""",61
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,1889,22668,50625.548255,180.00,50445.548255,95,100.00,Immediate Priority,"""DuSable Lake Shore Dr & North Blvd""",81
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,1728,20736,48320.3637025,180.00,48140.3637025,95,100.00,Immediate Priority,"""Shedd Aquarium""",77
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,1380,16560,41698.511485,180.00,41518.511485,95,100.00,Immediate Priority,"""Theater on the Lake""",71
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,1110,13320,39292.9803325,180.00,39112.9803325,95,100.00,Immediate Priority,"""Michigan Ave & 8th St""",61
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,920,11040,35049.248585,180.00,34869.248585,95,100.00,Immediate Priority,"""Montrose Harbor""",57
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,946,11352,34091.5841325,180.00,33911.5841325,95,100.00,Immediate Priority,"""Buckingham Fountain""",60
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,1056,12672,34021.9050475,180.00,33841.9050475,95,100.00,Immediate Priority,"""Adler Planetarium""",67
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,984,11808,31053.65624,180.00,30873.65624,95,100.00,Immediate Priority,"""Indiana Ave & Roosevelt Rd""",68
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,875,10500,29941.6169725,180.00,29761.6169725,95,100.00,Immediate Priority,"""New St & Illinois St""",63
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,874,10488,29883.042535,180.00,29703.042535,95,100.00,Immediate Priority,"""Michigan Ave & Washington St""",63
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,885,10620,29064.549285,180.00,28884.549285,95,100.00,Immediate Priority,"""Wabash Ave & Grand Ave""",66
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,730,8760,26745.960345,180.00,26565.960345,95,100.00,Immediate Priority,"""McClurg Ct & Ohio St""",59
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,772,9264,26343.48492,180.00,26163.48492,95,100.00,Immediate Priority,"""Columbus Dr & Randolph St""",63
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,773,9276,25725.610085,180.00,25545.610085,95,100.00,Immediate Priority,"""Michigan Ave & Lake St""",65
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,859,10308,22867.947755,180.00,22687.947755,95,100.00,Immediate Priority,"""Clark St & Lincoln Ave""",81
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,787,9444,22559.5930036364,180.00,22379.5930036364,95,91.67,Immediate Priority,"""DuSable Lake Shore Dr & Diversey Pkwy""",75
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,861,10332,22526.7152275,180.00,22346.7152275,95,100.00,Immediate Priority,"""Clark St & Armitage Ave""",83
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,811,9732,21784.177435,180.00,21604.177435,95,100.00,Immediate Priority,"""Field Museum""",80
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,578,6936,21691.519795,180.00,21511.519795,95,100.00,Immediate Priority,"""Michigan Ave & Jackson Blvd""",58
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,803,9636,21563.2730275,180.00,21383.2730275,95,100.00,Immediate Priority,"""LaSalle St & Illinois St""",80
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,668,8016,21087.240245,180.00,20907.240245,95,100.00,Immediate Priority,"""DuSable Lake Shore Dr & Belmont Ave""",68
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,375,4500,20887.70818125,180.00,20707.70818125,95,66.67,High Priority,"""Griffin Museum of Science and Industry""",39
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,525,6300,20542.9309718182,180.00,20362.9309718182,95,91.67,Immediate Priority,"""Lakefront Trail & Bryn Mawr Ave""",55
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,598,7176,20135.055655,180.00,19955.055655,95,100.00,Immediate Priority,"""Cityfront Plaza Dr & Pioneer Ct""",64
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,596,7152,20088.90057,180.00,19908.90057,95,100.00,Immediate Priority,"""Lincoln Park Conservatory""",64
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,405,4860,19922.506335,180.00,19742.506335,95,83.33,Immediate Priority,"""Lakefront Trail & Wilson Ave""",44
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,518,6216,18871.2745063636,180.00,18691.2745063636,95,91.67,Immediate Priority,"""McCormick Place""",59
