analysis_type,timing_combination,conversion_readiness_stage,unique_casual_riders,avg_cumulative_trips,avg_tenure_days,recommended_marketing_action,messaging_phase,campaign_priority_score,estimated_conversion_rate,conversion_window_type
OPTIMAL_TIMING_ANALYSIS,Veteran User (180+ days) + Power User (60+ trips),High Conversion Readiness,775,3018,264,Immediate Outreach Recommended,Retention & Upgrade Focus,95,5-15%,Standard Timeline
OPTIMAL_TIMING_ANALYSIS,Established User (91-180 days) + Power User (60+ trips),High Conversion Readiness,680,798,138,Immediate Outreach Recommended,Loyalty & Savings Focus,95,30-40%,Standard Timeline
OPTIMAL_TIMING_ANALYSIS,Regular User (31-90 days) + Power User (60+ trips),High Conversion Readiness,451,287,75,Immediate Outreach Recommended,Conversion Opportunity,95,25-35%,Peak Conversion Window
OPTIMAL_TIMING_ANALYSIS,Established User (91-180 days) + Regular Usage (31-60 trips),High Conversion Readiness,390,44,130,Immediate Outreach Recommended,Loyalty & Savings Focus,95,30-40%,Standard Timeline
OPTIMAL_TIMING_ANALYSIS,Established User (91-180 days) + Habit Formation (16-30 trips),High Conversion Readiness,354,24,131,Immediate Outreach Recommended,Loyalty & Savings Focus,95,30-40%,Standard Timeline
OPTIMAL_TIMING_ANALYSIS,Veteran User (180+ days) + Regular Usage (31-60 trips),High Conversion Readiness,242,45,234,Immediate Outreach Recommended,Retention & Upgrade Focus,95,5-15%,Standard Timeline
OPTIMAL_TIMING_ANALYSIS,Regular User (31-90 days) + Regular Usage (31-60 trips),High Conversion Readiness,232,44,74,Immediate Outreach Recommended,Conversion Opportunity,95,25-35%,Peak Conversion Window
OPTIMAL_TIMING_ANALYSIS,Regular User (31-90 days) + Habit Formation (16-30 trips),High Conversion Readiness,215,24,73,Immediate Outreach Recommended,Conversion Opportunity,95,25-35%,Peak Conversion Window
OPTIMAL_TIMING_ANALYSIS,Veteran User (180+ days) + Habit Formation (16-30 trips),High Conversion Readiness,186,24,232,Immediate Outreach Recommended,Retention & Upgrade Focus,95,5-15%,Standard Timeline
GROWTH_TREND_ANALYSIS,Accelerating Growth (50%+ MoM),Growth Pattern Analysis,1101,196,133,Immediate Conversion Push,Growth-Based Messaging,90,35-45%,Momentum-Based Timing
