analysis_type,station_name,recommended_strategy,stations_in_category,casual_trips,member_trips,total_trips,casual_percentage,geographic_opportunity_score,casual_trips_per_active_day,avg_casual_duration,casual_weekend_percentage,campaign_priority,conservative_conversion_estimate,optimistic_conversion_estimate,estimated_monthly_revenue_impact
GEOGRAPHIC_OPPORTUNITY_SUMMARY,Severe Under-Penetration (70%+ casual),Medium Investment Zone,7,156436,46714,203150,76.92,95,64.60,32.8485714285714,44.04,Cluster Analysis,23465,39109,2346540
GEOGRAPHIC_OPPORTUNITY_SUMMARY,High Under-Penetration (60-69% casual),High Investment Zone,11,85154,45226,130380,64.61,85,23.89,37.5554545454545,44.77,Cluster Analysis,12773,21289,1277310
GEOGRAPHIC_OPPORTUNITY_SUMMARY,Moderate Under-Penetration (50-59% casual),High Investment Zone,21,85231,66358,151589,55.24,75,13.60,26.82,37.83,Cluster Analysis,12785,21308,1278465
GEOGRAPHIC_OPPORTUNITY_SUMMARY,High Under-Penetration (60-69% casual),Low Investment Zone,2,909,489,1398,65.02,75,2.26,17.695,31.19,Cluster Analysis,136,227,13635
GEOGRAPHIC_OPPORTUNITY_SUMMARY,Low Under-Penetration (40-49% casual),High Investment Zone,92,294325,386335,680660,43.83,65,9.79,24.5434782608696,36.68,Cluster Analysis,44149,73581,4414875
GEOGRAPHIC_OPPORTUNITY_SUMMARY,Moderate Under-Penetration (50-59% casual),Medium Investment Zone,12,2899,2518,5417,53.52,65,2.59,23.895,35.29,Cluster Analysis,435,725,43485
GEOGRAPHIC_OPPORTUNITY_SUMMARY,High Under-Penetration (60-69% casual),Low Investment Zone,4,924,473,1397,66.32,65,1.79,31.925,38.31,Cluster Analysis,139,231,13860
GEOGRAPHIC_OPPORTUNITY_SUMMARY,Severe Under-Penetration (70%+ casual),Low Investment Zone,3,742,229,971,77.25,65,2.00,34.7366666666667,36.65,Cluster Analysis,111,186,11130
GEOGRAPHIC_OPPORTUNITY_SUMMARY,Good Member Penetration (<40% casual),High Investment Zone,112,599779,1023932,1623711,37.23,55,15.50,21.0261607142857,35.62,Cluster Analysis,89967,149945,8996685
GEOGRAPHIC_OPPORTUNITY_SUMMARY,High Under-Penetration (60-69% casual),Medium Investment Zone,21,2986,1624,4610,64.71,55,1.40,20.5519047619048,27.06,Cluster Analysis,448,747,44790
GEOGRAPHIC_OPPORTUNITY_SUMMARY,Low Under-Penetration (40-49% casual),Medium Investment Zone,16,2311,3010,5321,43.61,55,1.41,23.17625,29.59,Cluster Analysis,347,578,34665
