analysis_type,member_casual,trip_year,rideable_type,trip_count,percentage_of_user_trips,avg_duration_minutes,avg_distance_km,previous_year_count,yoy_growth_percentage,conversion_metric
BIKE_PREFERENCES,casual,2023,"""CLASSIC_BIKE""",860718,43.04,26,nan,,,0
BIKE_PREFERENCES,casual,2023,"""DOCKED_BIKE""",75376,3.77,53.26,nan,,,0
BIKE_PREFERENCES,casual,2023,"""ELECTRIC_BIKE""",1063621,53.19,14.78,2.23,,,0
BIKE_PREFERENCES,casual,2024,"""CLASSIC_BIKE""",965060,46.39,29.01,nan,860718,12.12,0
BIKE_PREFERENCES,casual,2024,"""ELECTRIC_BIKE""",1033614,49.69,15.33,nan,1063621,-2.82,0
BIKE_PREFERENCES,casual,2024,"""ELECTRIC_SCOOTER""",81450,3.92,12.47,nan,,,0
BIKE_PREFERENCES,member,2023,"""CLASSIC_BIKE""",1789010,50.21,13.18,nan,,,0
BIKE_PREFERENCES,member,2023,"""ELECTRIC_BIKE""",1774327,49.79,11.54,2.37,,,0
BIKE_PREFERENCES,member,2024,"""CLASSIC_BIKE""",1749632,48.05,13.43,nan,1789010,-2.20,0
BIKE_PREFERENCES,member,2024,"""ELECTRIC_BIKE""",1835498,50.41,11.55,nan,1774327,3.45,0
BIKE_PREFERENCES,member,2024,"""ELECTRIC_SCOOTER""",56134,1.54,8.66,nan,,,0
CONVERSION_POTENTIAL,casual,2024,High-Intensity Casual Users,1,50.00,20.25,11.82,0,0.00,8.43
CONVERSION_POTENTIAL,casual,2024,High-Intensity Casual Users,1,50.00,16.2,10.91,0,0.00,5.29
CONVERSION_POTENTIAL,casual,2024,High-Intensity Casual Users,1,50.00,19.27,12.13,0,0.00,7.14
CONVERSION_POTENTIAL,casual,2024,High-Intensity Casual Users,1,50.00,23.51,13.48,0,0.00,10.03
CONVERSION_POTENTIAL,casual,2024,High-Intensity Casual Users,1,50.00,23.99,13.41,0,0.00,10.58
CONVERSION_POTENTIAL,casual,2024,High-Intensity Casual Users,1,50.00,24.18,13.22,0,0.00,10.97
CONVERSION_POTENTIAL,casual,2024,High-Intensity Casual Users,1,50.00,22.06,12.05,0,0.00,10.01
CONVERSION_POTENTIAL,casual,2024,High-Intensity Casual Users,1,50.00,20.03,11.42,0,0.00,8.61
CONVERSION_POTENTIAL,casual,2024,High-Intensity Casual Users,1,50.00,14.04,11.63,0,0.00,2.41
CONVERSION_POTENTIAL,casual,2024,High-Intensity Casual Users,1,50.00,18.45,11.91,0,0.00,6.53
CONVERSION_POTENTIAL,casual,2024,High-Intensity Casual Users,1,50.00,22.52,13.1,0,0.00,9.42
CONVERSION_POTENTIAL,casual,2024,High-Intensity Casual Users,1,50.00,13.77,10.61,0,0.00,3.16
USAGE_INTENSITY,casual,2024,Heavy User (100+ trips),12,100.00,19.86,5675,0,0.00,0
USAGE_INTENSITY,member,2024,Heavy User (100+ trips),12,100.00,12.14,9943,0,0.00,0
