analysis_type,usage_frequency_category,savings_category,user_segments_count,avg_monthly_trips,avg_annual_trips,avg_annual_casual_cost,annual_membership_cost,avg_annual_savings,avg_conversion_score,consistency_score,marketing_priority,recommended_messaging,break_even_annual_trips
BREAK_EVEN_ANALYSIS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),609,289,3468,6903.52,143.9,6759.62,94,82.03,Immediate Priority,Premium Value Message: Save $6760/year,72
BREAK_EVEN_ANALYSIS,Occasional User (<5 trips/month),High Savings Potential (>$10/month),3,2,32,1197.35,143.9,1053.45,25,25.00,Low Priority,Premium Value Message: Save $1053/year,4
BREAK_EVEN_ANALYSIS,Heavy User (15-19 trips/month),High Savings Potential (>$10/month),10,16,198,790.86,143.9,646.96,93,25.83,Low Priority,Premium Value Message: Save $647/year,36
BREAK_EVEN_ANALYSIS,Moderate User (10-14 trips/month),High Savings Potential (>$10/month),9,12,146,597.89,143.9,453.99,81,25.00,Low Priority,Premium Value Message: Save $454/year,35
BREAK_EVEN_ANALYSIS,Light User (5-9 trips/month),High Savings Potential (>$10/month),4,6,81,567.07,143.9,423.17,60,27.08,Low Priority,Premium Value Message: Save $423/year,21
BREAK_EVEN_ANALYSIS,Light User (5-9 trips/month),Low Savings Potential ($0-5/month),1,6,72,218.2,143.9,74.3,50,25.00,Low Priority,Medium Value Message: Save $74/year,47
BREAK_EVEN_ANALYSIS,Moderate User (10-14 trips/month),Low Savings Potential ($0-5/month),1,11,132,209.72,143.9,65.82,50,25.00,Low Priority,Medium Value Message: Save $66/year,91
BREAK_EVEN_ANALYSIS,Heavy User (15-19 trips/month),Low Savings Potential ($0-5/month),5,16,201,209.61,143.9,65.71,50,25.00,Low Priority,Medium Value Message: Save $66/year,138
BREAK_EVEN_ANALYSIS,Moderate User (10-14 trips/month),No Financial Benefit,19,10,130,142.82,143.9,-1.08,25,25.43,Low Priority,"Lifestyle Message: Focus on convenience, not savings",131
BREAK_EVEN_ANALYSIS,Light User (5-9 trips/month),No Financial Benefit,161,6,76,94.97,143.9,-48.93,25,31.26,Low Priority,"Lifestyle Message: Focus on convenience, not savings",115
BREAK_EVEN_ANALYSIS,Occasional User (<5 trips/month),No Financial Benefit,651,1,19,31.9,143.9,-112,25,42.15,Low Priority,"Lifestyle Message: Focus on convenience, not savings",86
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,30899,370788,468880.38592,143.9,468736.48592,95,100.00,Immediate Priority,Unknown Station,114
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,4189,50268,150416.1369925,143.9,150272.2369925,95,100.00,Immediate Priority,"""Streeter Dr & Grand Ave""",48
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,2790,33480,98158.1181925,143.9,98014.2181925,95,100.00,Immediate Priority,"""DuSable Lake Shore Dr & Monroe St""",49
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,2061,24732,81152.724375,143.9,81008.824375,95,100.00,Immediate Priority,"""Michigan Ave & Oak St""",44
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,1848,22176,78150.278535,143.9,78006.378535,95,100.00,Immediate Priority,"""Millennium Park""",41
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,1514,18168,53382.1837825,143.9,53238.2837825,95,100.00,Immediate Priority,"""Dusable Harbor""",49
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,1889,22668,50625.548255,143.9,50481.648255,95,100.00,Immediate Priority,"""DuSable Lake Shore Dr & North Blvd""",64
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,1728,20736,48320.3637025,143.9,48176.4637025,95,100.00,Immediate Priority,"""Shedd Aquarium""",62
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,1380,16560,41698.511485,143.9,41554.611485,95,100.00,Immediate Priority,"""Theater on the Lake""",57
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,1110,13320,39292.9803325,143.9,39149.0803325,95,100.00,Immediate Priority,"""Michigan Ave & 8th St""",49
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,920,11040,35049.248585,143.9,34905.348585,95,100.00,Immediate Priority,"""Montrose Harbor""",45
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,946,11352,34091.5841325,143.9,33947.6841325,95,100.00,Immediate Priority,"""Buckingham Fountain""",48
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,1056,12672,34021.9050475,143.9,33878.0050475,95,100.00,Immediate Priority,"""Adler Planetarium""",54
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,984,11808,31053.65624,143.9,30909.75624,95,100.00,Immediate Priority,"""Indiana Ave & Roosevelt Rd""",55
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,875,10500,29941.6169725,143.9,29797.7169725,95,100.00,Immediate Priority,"""New St & Illinois St""",50
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,874,10488,29883.042535,143.9,29739.142535,95,100.00,Immediate Priority,"""Michigan Ave & Washington St""",51
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,885,10620,29064.549285,143.9,28920.649285,95,100.00,Immediate Priority,"""Wabash Ave & Grand Ave""",53
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,730,8760,26745.960345,143.9,26602.060345,95,100.00,Immediate Priority,"""McClurg Ct & Ohio St""",47
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,772,9264,26343.48492,143.9,26199.58492,95,100.00,Immediate Priority,"""Columbus Dr & Randolph St""",51
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,773,9276,25725.610085,143.9,25581.710085,95,100.00,Immediate Priority,"""Michigan Ave & Lake St""",52
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,859,10308,22867.947755,143.9,22724.047755,95,100.00,Immediate Priority,"""Clark St & Lincoln Ave""",65
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,787,9444,22559.5930036364,143.9,22415.6930036364,95,91.67,Immediate Priority,"""DuSable Lake Shore Dr & Diversey Pkwy""",60
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,861,10332,22526.7152275,143.9,22382.8152275,95,100.00,Immediate Priority,"""Clark St & Armitage Ave""",66
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,811,9732,21784.177435,143.9,21640.277435,95,100.00,Immediate Priority,"""Field Museum""",64
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,578,6936,21691.519795,143.9,21547.619795,95,100.00,Immediate Priority,"""Michigan Ave & Jackson Blvd""",46
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,803,9636,21563.2730275,143.9,21419.3730275,95,100.00,Immediate Priority,"""LaSalle St & Illinois St""",64
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,668,8016,21087.240245,143.9,20943.340245,95,100.00,Immediate Priority,"""DuSable Lake Shore Dr & Belmont Ave""",55
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,375,4500,20887.70818125,143.9,20743.80818125,95,66.67,High Priority,"""Griffin Museum of Science and Industry""",31
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,525,6300,20542.9309718182,143.9,20399.0309718182,95,91.67,Immediate Priority,"""Lakefront Trail & Bryn Mawr Ave""",44
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,598,7176,20135.055655,143.9,19991.155655,95,100.00,Immediate Priority,"""Cityfront Plaza Dr & Pioneer Ct""",51
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,596,7152,20088.90057,143.9,19945.00057,95,100.00,Immediate Priority,"""Lincoln Park Conservatory""",51
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,405,4860,19922.506335,143.9,19778.606335,95,83.33,Immediate Priority,"""Lakefront Trail & Wilson Ave""",35
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,518,6216,18871.2745063636,143.9,18727.3745063636,95,91.67,Immediate Priority,"""McCormick Place""",47
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,597,7164,18448.97154,143.9,18305.07154,95,100.00,Immediate Priority,"""Fairbanks Ct & Grand Ave""",56
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,568,6816,18094.93057,143.9,17951.03057,95,100.00,Immediate Priority,"""Wabash Ave & Wacker Pl""",54
